WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
3,1000,100899,96336,96436,4564,4564,4564
3,1000,105894,96634,96634,4266,4366,4366
3,1000,10989,80298,80398,20602,20602,20602
3,1000,110889,96633,96733,4267,4267,4267
3,1000,115884,96732,96832,4168,4168,4168
3,1000,120879,96930,97030,3970,3970,3970
3,1000,125874,97029,97129,3871,3871,3871
3,1000,130869,97029,97129,3871,3871,3871
3,1000,135864,97227,97327,3673,3673,3673
3,1000,140859,97326,97426,3574,3574,3574
3,1000,145854,97326,97426,3574,3574,3574
3,1000,150849,97425,97525,3475,3475,3475
3,1000,155844,97524,97624,3376,3376,3376
3,1000,15984,84654,84754,16246,16246,16246
3,1000,160839,97623,97723,3277,3277,3277
3,1000,165834,97623,97723,3277,3277,3277
3,1000,170829,97722,97822,3178,3178,3178
3,1000,175824,97722,97822,3178,3178,3178
3,1000,180819,97821,97921,3079,3079,3079
3,1000,185814,97920,98020,2980,2980,2980
3,1000,190809,97920,98020,2980,2980,2980
3,1000,195804,98019,98119,2881,2881,2881
3,1000,200799,98019,98119,2881,2881,2881
3,1000,205794,98118,98218,2782,2782,2782
3,1000,20979,87030,87130,13870,13870,13870
3,1000,210789,98019,98119,2881,2881,2881
3,1000,215784,98217,98317,2683,2683,2683
3,1000,220779,98217,98317,2683,2683,2683
3,1000,225774,98316,98416,2584,2584,2584
3,1000,230769,98316,98416,2584,2584,2584
3,1000,235764,98316,98416,2584,2584,2584
3,1000,240759,98415,98515,2485,2485,2485
3,1000,245754,98515,98515,2385,2485,2485
3,1000,250749,98415,98515,2485,2485,2485
3,1000,255744,98514,98614,2386,2386,2386
3,1000,25974,89010,89110,11890,11890,11890
3,1000,260739,98514,98614,2386,2386,2386
3,1000,265734,98514,98614,2386,2386,2386
3,1000,270729,98613,98713,2287,2287,2287
3,1000,275724,98613,98713,2287,2287,2287
3,1000,280719,98712,98812,2188,2188,2188
3,1000,285714,98613,98713,2287,2287,2287
3,1000,290709,98712,98812,2188,2188,2188
3,1000,295704,98712,98812,2188,2188,2188
3,1000,300699,98811,98911,2089,2089,2089
3,1000,305694,98811,98911,2089,2089,2089
3,1000,30969,90396,90496,10504,10504,10504
3,1000,310689,98811,98911,2089,2089,2089
3,1000,315684,98811,98911,2089,2089,2089
3,1000,320679,98811,98911,2089,2089,2089
3,1000,325674,98811,98911,2089,2089,2089
3,1000,330669,98910,99010,1990,1990,1990
3,1000,335664,98910,99010,1990,1990,1990
3,1000,340659,98910,99010,1990,1990,1990
3,1000,345654,98910,99010,1990,1990,1990
3,1000,350649,98910,99010,1990,1990,1990
3,1000,355644,99009,99109,1891,1891,1891
3,1000,35964,91386,91486,9514,9514,9514
3,1000,360639,99009,99109,1891,1891,1891
3,1000,365634,99009,99109,1891,1891,1891
3,1000,370629,99009,99109,1891,1891,1891
3,1000,375624,99108,99208,1792,1792,1792
3,1000,380619,99108,99208,1792,1792,1792
3,1000,385614,99108,99208,1792,1792,1792
3,1000,390609,99108,99208,1792,1792,1792
3,1000,395604,99108,99208,1792,1792,1792
3,1000,400599,99207,99307,1693,1693,1693
3,1000,405594,99207,99307,1693,1693,1693
3,1000,40959,92079,92179,8821,8821,8821
3,1000,410589,99207,99307,1693,1693,1693
3,1000,415584,99207,99307,1693,1693,1693
3,1000,420579,99207,99307,1693,1693,1693
3,1000,425574,99306,99406,1594,1594,1594
3,1000,430569,99306,99406,1594,1594,1594
3,1000,435564,99306,99406,1594,1594,1594
3,1000,440559,99306,99406,1594,1594,1594
3,1000,445554,99306,99406,1594,1594,1594
3,1000,450549,99306,99406,1594,1594,1594
3,1000,455544,99306,99406,1594,1594,1594
3,1000,45954,92871,92971,8029,8029,8029
3,1000,460539,99405,99505,1495,1495,1495
3,1000,465534,99405,99505,1495,1495,1495
3,1000,470529,99405,99505,1495,1495,1495
3,1000,475524,99405,99505,1495,1495,1495
3,1000,480519,99504,99604,1396,1396,1396
3,1000,485514,99504,99604,1396,1396,1396
3,1000,490509,99603,99703,1297,1297,1297
3,1000,495504,99603,99703,1297,1297,1297
3,1000,50949,93465,93565,7435,7435,7435
3,1000,55944,93861,93961,7039,7039,7039
3,1000,5994,71586,71686,29314,29314,29314
3,1000,60939,94257,94357,6643,6643,6643
3,1000,65934,94554,94654,6346,6346,6346
3,1000,70929,95049,95149,5851,5851,5851
3,1000,75924,95346,95446,5554,5554,5554
3,1000,80919,95445,95545,5455,5455,5455
3,1000,85914,95742,95842,5158,5158,5158
3,1000,90909,95940,96040,4960,4960,4960
3,1000,95904,96138,96238,4762,4762,4762
3,1000,999,41392,41392,59508,59608,41392
